id,parent,title,type,url,start,stop,priority,interval,nextrep,speed
1,1,snd,youtube,https://youtu.be/LZnfvF7E7LU,400,410,10,2,2021-05-03,1.21
8mKvuoEB,1,snd,youtube,https://youtu.be/LZnfvF7E7LU,789.266667,795.7,10,1,1970-01-01,1
